cs_threshold,ucs_threshold,case_label,experiment,condition,condition_tag,cluster,participants,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,delta_p_pearson,delta_p_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
0.01,0.01,Cond1_ex1,Summary,Symmetric,Symmetric_Summary,Cluster2,5,39.233,-0.178,-0.188,0.208,0.347,0.332,0.369,0.16,-0.035,-0.194,-0.187,0.471,0.495,0.242,0.192,0.471,0.495,0.102,-0.035,-0.251,-0.369,0.137,-0.07,0.426,0.369,0.121,-0.035,-0.184,-0.103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.161,-0.241,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.311,0.427,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.669,0.377,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.516,0.393,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.09,0.113,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.634,0.765,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.894,0.692,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.286,0.159,,,,,,,,,,,,,,,,,,,,,,,,
