condition,experiment,threshold,cluster,metric,phase1_correlation,phase2_correlation,phase1_n_participants,phase2_n_participants,phase1_n_samples,phase2_n_samples,phase1_fisher_z,phase2_fisher_z,z_statistic,p_value,significant,correlation_difference
対称否定_サマリー,ex1,0.5,Cluster2,CS,0.13494694376345223,-0.14062846903813322,36,12,6,6,0.13577517074976042,-0.14156666698343087,0.33967299338604434,0.7341028018985871,False,0.2755754128015855
対称否定_サマリー,ex1,0.5,Cluster2,UCS,0.3986977624840682,-0.12831763257850412,36,12,6,6,0.4220996069517489,-0.1290289407888136,0.6749918623227485,0.49968093510379896,False,0.5270153950625723
対称否定_サマリー,ex1,0.5,Cluster1,CS,-0.2583194024164325,0.634489231725339,156,216,6,6,-0.26430680650591165,0.7488949487537584,-1.2409136534392367,0.21463764838790933,False,0.8928086341417715
対称否定_サマリー,ex1,0.5,Cluster1,UCS,0.7907362608610887,0.9201701735175403,156,216,6,6,1.073393383500863,1.5901359465337042,-0.632877803904217,0.5268134434969811,False,0.12943391265645154
対称否定_サマリー,ex1,0.2,Cluster2,CS,-0.004188614768986729,0.1275384255465334,36,12,6,6,-0.004188639264953022,0.12823676936885597,-0.16218734006619304,0.8711583289708185,False,0.13172704031552013
対称否定_サマリー,ex1,0.2,Cluster2,UCS,0.6967214642742952,0.10893036158588551,36,12,6,6,0.8609007372500004,0.10936430474470453,0.9204403913747923,0.357342669384094,False,0.5877911026884096
対称否定_サマリー,ex1,0.2,Cluster1,CS,-0.8528675765996032,0.39933652429261773,156,216,6,6,-1.2665783693392316,0.42285932746458166,-2.0691301546960887,0.03853387472243197,True,1.252204100892221
対称否定_サマリー,ex1,0.2,Cluster1,UCS,0.4465798978648518,0.7763687990655084,156,216,6,6,0.48041998335830277,1.0361641442582707,-0.680644810868058,0.4960962653377261,False,0.32978890120065657
対称否定_サマリー,ex1,0.1,Cluster2,CS,0.031463778220178706,0.1718086862873075,36,12,6,6,0.03147416711694255,0.17352976847572588,-0.1739818692166179,0.8618797111839722,False,0.1403449080671288
対称否定_サマリー,ex1,0.1,Cluster2,UCS,0.6848950444625985,0.13487501168269092,36,12,6,6,0.8382763885910212,0.1357019051640985,0.8604744953477185,0.3895275367208271,False,0.5500200327799076
