CS_threshold,UCS_threshold,実験タイプ,条件,クラスタ,n,CRT_mean,estimate_mean,P(E|C)_pearson,P(E|C)_spearman,P(C|E)_pearson,P(C|E)_spearman,ΔP_pearson,ΔP_spearman,CS_pearson,CS_spearman,UCS_pearson,UCS_spearman,pARIs_pearson,pARIs_spearman,DFH_pearson,DFH_spearman,Dice_pearson,Dice_spearman,CS_diff_pearson,CS_diff_spearman,UCS_diff_pearson,UCS_diff_spearman,CS_ratio_pearson,CS_ratio_spearman,UCS_ratio_pearson,UCS_ratio_spearman,CS_single_pearson,CS_single_spearman,UCS_single_pearson,UCS_single_spearman
0.2,0.2,サマリー,対称否定,クラスタ1,4,0.25,43,-0.15,0.116,0.187,0.174,0.372,0.257,0.091,0.371,-0.506,-0.029,0.64,0.878,0.323,0.5,0.64,0.878,-0.002,0.257,-0.302,-0.257,0.023,-0.143,-0.621,-0.429,0.024,0.257,-0.056,0.029
0.2,0.2,サマリー,対称否定,クラスタ2,27,2.296,42.877,-0.971,-0.87,0.899,0.986,0.989,1,-0.85,-0.657,-0.897,-0.6,0.158,0.293,-0.095,0.147,0.158,0.293,-0.927,-0.829,-0.935,-1,0.66,0.6,-0.092,0.086,-0.917,-0.829,-0.784,-0.486
0.1,0.1,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,0.812,-0.598,-0.638,-0.602,-0.543,0.95,0.943,0.593,0.543,0.548,0.488,0.612,0.618,0.548,0.488,,,,,,,,,,,,
0.1,0.1,オンライン,非対称否定,クラスタ2,26,2.308,26.051,-0.89,-0.638,0.726,0.696,0.924,0.771,-0.783,-0.543,-0.932,-0.771,0.181,0.293,-0.282,-0.147,0.181,0.293,,,,,,,,,,,,
0.1,0.1,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,-0.928,0.893,0.986,0.939,0.943,-0.624,-0.771,-0.934,-0.943,0.285,0.098,0.186,0.029,0.285,0.098,-0.735,-0.886,-0.917,-0.943,0.736,0.429,-0.924,-0.943,-0.71,-0.886,0.668,0.486
0.1,0.1,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,-0.87,0.933,0.986,0.996,1,-0.813,-0.657,-0.994,-1,0.174,0.293,-0.014,0.147,0.174,0.293,-0.886,-0.829,-0.97,-1,0.73,0.486,-0.918,-1,-0.87,-0.829,0.585,0.429
0.1,0.1,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.074,-0.38,-0.147,-0.598,-0.087,0.185,-0.145,0.62,0.087,-0.495,-0.495,-0.101,0.045,-0.495,-0.495,,,,,,,,,,,,
0.1,0.1,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,-0.696,0.8,0.899,0.959,0.943,-0.627,-0.486,-0.97,-0.943,0.442,0.488,0.059,0.059,0.442,0.488,,,,,,,,,,,,
0.1,0.1,サマリー,対称否定,クラスタ1,4,0.25,43,-0.15,0.116,0.187,0.174,0.372,0.257,0.134,0.371,-0.38,-0.257,0.64,0.878,0.323,0.5,0.64,0.878,0.056,0.257,-0.28,-0.257,0.054,-0.257,-0.58,-0.257,0.08,0.257,0.067,0.029
0.1,0.1,サマリー,対称否定,クラスタ2,27,2.296,42.877,-0.971,-0.87,0.899,0.986,0.989,1,-0.836,-0.657,-0.99,-1,0.158,0.293,-0.095,0.147,0.158,0.293,-0.891,-0.829,-0.947,-1,0.674,0.486,-0.923,-1,-0.878,-0.829,0.511,0.429
0.01,0.01,オンライン,非対称否定,クラスタ1,10,2.2,54.683,0.787,0.812,-0.598,-0.638,-0.602,-0.543,0.956,0.943,0.585,0.543,0.548,0.488,0.612,0.618,0.548,0.488,,,,,,,,,,,,
0.01,0.01,オンライン,非対称否定,クラスタ2,26,2.308,26.051,-0.89,-0.638,0.726,0.696,0.924,0.771,-0.602,-0.543,-0.899,-0.771,0.181,0.293,-0.282,-0.147,0.181,0.293,,,,,,,,,,,,
0.01,0.01,オンライン,対称否定,クラスタ1,14,2.286,49.75,-0.857,-0.928,0.893,0.986,0.939,0.943,-0.464,-0.771,-0.932,-0.943,0.285,0.098,0.186,0.029,0.285,0.098,-0.573,-0.771,-0.917,-0.943,0.762,0.371,-0.944,-0.943,-0.543,-0.771,0.863,0.886
0.01,0.01,オンライン,対称否定,クラスタ2,24,2.478,22.708,-0.97,-0.87,0.933,0.986,0.996,1,-0.647,-0.657,-0.997,-1,0.174,0.293,-0.014,0.147,0.174,0.293,-0.737,-0.657,-0.978,-1,0.751,0.429,-0.968,-1,-0.711,-0.657,0.911,0.829
0.01,0.01,サマリー,非対称否定,クラスタ1,2,2.5,64.75,0.42,-0.074,-0.38,-0.147,-0.598,-0.087,0.006,-0.145,0.545,0.087,-0.495,-0.495,-0.101,0.045,-0.495,-0.495,,,,,,,,,,,,
0.01,0.01,サマリー,非対称否定,クラスタ2,37,2.361,42.833,-0.851,-0.696,0.8,0.899,0.959,0.943,-0.404,-0.486,-0.942,-0.943,0.442,0.488,0.059,0.059,0.442,0.488,,,,,,,,,,,,
0.01,0.01,サマリー,対称否定,クラスタ1,4,0.25,43,-0.15,0.116,0.187,0.174,0.372,0.257,0.297,0.371,-0.376,-0.257,0.64,0.878,0.323,0.5,0.64,0.878,0.225,0.371,-0.273,-0.257,0.092,-0.257,-0.497,-0.257,0.251,0.371,0.126,-0.257
0.01,0.01,サマリー,対称否定,クラスタ2,27,2.296,42.877,-0.971,-0.87,0.899,0.986,0.989,1,-0.667,-0.657,-0.986,-1,0.158,0.293,-0.095,0.147,0.158,0.293,-0.746,-0.657,-0.957,-1,0.693,0.486,-0.965,-1,-0.721,-0.657,0.879,0.829
